id,request,Candidate:id,Candidate,Candidate_id,Election_Status,Status_of_Candidate_id,Status_of_Candidate,Specific_Party:id,Specific_Party,General_Party:id,General_Party,Election_Jurisdiction,Office_Sought:id,Incumbency_Status,#_of_Records,Total_$,real_state,percent
294,dt=1&y=2018&c-exi=1&c-t-id=224001,224001,"JACKLEY, MARTY J",8619003,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,SD,19373,Open,1186,1958613.93,4000,0.2042260569
1457,dt=1&y=2018&c-exi=1&c-t-id=234495,234495,"WOOLDRIDGE, GREG C",44426768,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,OR,9211,Open,170,313063.7,500,0.1597119053
3915,dt=1&y=2018&c-exi=1&c-t-id=223891,223891,"LOPEZ, GREG",6742495,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,CO,9229,Open,283,63258.76,100,0.1580808729
63,dt=1&y=2018&c-exi=1&c-t-id=223798,223798,"KING, THOMAS CHRISTOPHER (CHRIS)",29304063,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,FL,9420,Open,4788,7381657.22,11088.1,0.1502115266
3676,dt=1&y=2018&c-exi=1&c-t-id=224146,224146,"JOHNSON, CONSTANCE (CONNIE)",44001054,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,OK,9256,Open,777,69694.24,100,0.1434838804
79,dt=1&y=2018&c-exi=1&c-t-id=224465,224465,"EL-SAYED, ADBULRAHMAN M (ADBUL)",44001362,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,MI,9149,Open,44808,6124491.3,8777.92,0.1433248832
1075,dt=1&y=2018&c-exi=1&c-t-id=250140,250140,"JORDAN, PAULETTE E",10885499,Pending-General,4,Pending,33,DEMOCRATIC,1,Democratic,ID,9168,Open,2684,528124.81,500,0.09467459027
849,dt=1&y=2018&c-exi=1&c-t-id=224322,224322,"MASON, GARRETT PAUL",6683709,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,ME,9284,Open,350,736649.26,600,0.08144988838
750,dt=1&y=2018&c-exi=1&c-t-id=224195,224195,"WACHS, DANA",2957836,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,WI,12584,Open,2681,842118.99,610,0.07243631924
648,dt=1&y=2018&c-exi=1&c-t-id=224319,224319,"HAYES, TERRY",6454207,Pending-General,4,Pending,62,INDEPENDENT,3,Third-Party,ME,9284,Open,875,982758.5,700,0.07122807892
1501,dt=1&y=2018&c-exi=1&c-t-id=224192,224192,"MCCABE, MIKE",41645213,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,WI,12584,Open,3546,299390.42,200,0.0668024047
1721,dt=1&y=2018&c-exi=1&c-t-id=224519,224519,"NOBLE JR, JAMES P",44001384,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,SC,9132,Open,1107,241546.35,150,0.06209988269
939,dt=1&y=2018&c-exi=1&c-t-id=224003,224003,"MASSIE, ROBERT K",271838,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,MA,10271,Open,2873,636575.66,360,0.05655258638
387,dt=1&y=2018&c-exi=1&c-t-id=223638,223638,"OBSITNIK, STEPHEN A (STEVE)",15759935,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,CT,9141,Open,1238,1574014.8,740,0.04701353507
1068,dt=1&y=2018&c-exi=1&c-t-id=224312,224312,"CARON, ALAN",16167338,Pending-General,4,Pending,62,INDEPENDENT,3,Third-Party,ME,9284,Open,247,534698,250,0.04675536471
1197,dt=1&y=2018&c-exi=1&c-t-id=234488,234488,"CARPENTER, SAM",44211623,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,OR,9211,Open,281,441946.15,200,0.04525438224
686,dt=1&y=2018&c-exi=1&c-t-id=224521,224521,"BRYANT, KEVIN L",6660581,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,SC,9132,Challenger,529,934719.16,300,0.03209520173
789,dt=1&y=2018&c-exi=1&c-t-id=224326,224326,"SWEET, ELIZABETH ANN (BETSY)",44001228,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,ME,9284,Open,1225,798483,200,0.02504749631
236,dt=1&y=2018&c-exi=1&c-t-id=223996,223996,"GLASSON, CATHY",28069858,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,IA,19374,Open,5923,2292637.69,328.05,0.01430884616
101,dt=1&y=2018&c-exi=1&c-t-id=223893,223893,"MITCHELL, VICTOR S",6002465,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,CO,9229,Open,880,5025380.65,610.54,0.01214912944
631,dt=1&y=2018&c-exi=1&c-t-id=223999,223999,"MCGUIRE, ANDREA H (ANDY)",6011761,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,IA,19374,Open,1609,1011007.78,100,0.009891120719
33,dt=1&y=2018&c-exi=1&c-t-id=223642,223642,"STEMERMAN, DAVID I",7103796,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,CT,9141,Open,381,12926635.34,700,0.005415175578
317,dt=1&y=2018&c-exi=1&c-t-id=223907,223907,"WILLIAMS, MICHAEL E",24360980,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,GA,9128,Open,1973,1826055.35,70,0.003833399683
376,dt=1&y=2018&c-exi=1&c-t-id=223994,223994,"BOULTON, NATHANIEL R (NATE)",6124227,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,IA,19374,Open,6689,1622285.21,25,0.001541036055
